,Control1,Control2,Control3,Control4,Control5,Control6,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6
RNU6-789P,0.2699,0.1352,0.1823,0.1936,0.1208,0.2208,0.6105,0.1079,0.1646,0.1327,0.686,0.5275
RNU6-762P,0.4049,0.5409,1.6409,0,0.8458,1.6558,0.7632,1.8349,2.469,2.3891,3.2584,2.1102
SNORA74,0,0,0,0,0.1601,0,0,0.143,0,0,0.1136,0.0874
RNU6-365P,0,0,0,0,0,0,0,0.2077,0,0,0,0
RNA5SP404,0,0,0,0,0,0.1706,0,0,0,0,0,0
RNU6-64P,0.2622,0,0,0,0,0,0,0,0,0,0,0.1281
RNU6-218P,0.5244,0.1314,0.5313,0,0.1174,0,0,0.2097,1.4391,0,0.833,0.2562
RNU6-1015P,0,0,0,0,0,0,0,0,0,0,0,0.2718
RNU6-231P,0,0.1339,0,0,0,0,0,0,0,0,0,0.1306
RNU6-1223P,0,1.0609,0,0,0.1185,0.7579,1.3473,0.5293,3.2287,0.2603,0.6728,1.6815
RNU7-172P,0,0,0,0,0,0,0.4865,0,0,0,0,0
RNU6-1220P,0,0,0,0,0,0,0,0,0,0,0,0.1246
RNA5SP423,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1270P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP340,0,0,0,0,0,0,0,0,0,0.1265,0,0
RNA5SP290,0.1084,0.1086,0,0.311,0.2911,0,0,0.0867,0.1322,0.1066,0.5509,0.3178
RNU6-264P,0,0,0,0,0,0.1083,0,0.3176,0,0,0,0
RNU6-897P,0,0.2627,0,0,0.1174,0,0,0,0.3198,0,0,0.1281
SNOU83B,0,0,0,0,0,0,0,0,0,0,0,0.4586
SCARNA1,0,0.3323,0.2241,0,0.2227,0.1357,0.3752,0.1326,0.3034,0,0.4215,0.4052
RNU6-1314P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP490,0,0.5071,0.1367,0,1.6312,2.401,0,0.8905,0.7407,0.2986,0.1286,0.6924
RNA5SP165,0,0,0,0,0.2143,0,0.4061,0,0.438,0,0,0.5849
RNU6-58P,0,0,0,0,0,0,0,0,0,0,0,0.1306
RNU6-232P,0,0,0,0,0,0,0,0,0,0,0,0
RNU4ATAC9P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP40,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP402,0,0.2508,0,0,0,0,0,0,0,0.1231,0,0
RNA5SP170,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP258,0,0,0.4282,0,0,0,0.0512,0,0.0552,0,0.1151,0.2655
RNU6-993P,0,0,0,0,0,0,0,0,0.5302,0,1.2889,0.1416
RN7SKP147,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP400,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP159,0.401,0.4017,0.1806,0,0.1197,0.4373,0.1512,0.1069,0,0.2629,0.1698,0.9142
RNU6-1057P,0,0.1352,0.9116,0,0,0,0,0.1079,0.823,0,0,0.3957
RNU6-1028P,0,0,0,0,0,0,0,0,0,0,0,0.4339
RNA5SP70,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP183,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-165P,0,0,0,0,0,0,0,0,0.3392,0,0,0.1359
RNU6-367P,0.1377,0,0,0,0,0,0,0,0.1679,0,0,0.1345
RN7SKP234,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-35P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-844P,0,0,0,0,0,0,0,0,0,0,0,0.1319
SNORD116,0,0.3536,0,0,0,0,0,0,0,0,0.2243,0.3449
RNA5SP66,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-111P,0,0,0,0,0,0.1072,0,0,0,0,0,0
RNU1-54P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1073P,0,0,0,0,0,0,0,0,0,0,0,0.1269
RNU6-1231P,0.8019,0.1339,0,0,0,0,0.3023,0,0,0.2629,0,0
RNU6-667P,0,0.1352,0,0,0,0,0,0,0.1646,0,0,0.1319
RNU6-1315P,0.4172,0.1393,0,0,0,0.2275,0.4718,0.1112,0.3392,0.1367,0.3534,0.4076
RNU6-889P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP380,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-45P,0.0976,0,0,0,0,0,0,0,0,0,0,0
RN7SKP105,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1261P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-176P,0.3933,0,0,0.3762,0.1174,0,0,0.1049,0.4797,0.7736,0.1666,0.1281
RN7SKP283,0,0,0,0,0,0,0,0,0,0,0,0
SNORA50B,0,0,0,0,0,0,0,0,0,0,0,0
MIR2355,0.7912,0.1585,0,0,0,0.3883,0.5369,0,0.5789,0.3112,0,0.3092
RN7SKP256,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP64,0.3358,0,0,0,0,0.103,0,0.0336,0.0512,0,0,0.123
RN7SKP35,0,0,0,0,0,0,0,0,0,0,0,0.3564
RN7SKP40,0.0569,0.057,0.2305,0,0,0.0465,0.1287,0.0455,0.0694,0,0.2168,0.1112
RNU6-902P,0,0,0,0,0,0,0,0.242,0,0,0,0
RNU6-731P,0.7441,1.3668,1.6754,0.3558,0.9993,0.2029,0.8416,0.0992,0.1513,0.4879,0,0.9695
RNU7-156P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1238P,0,0,0.3646,0.5809,0.9666,0.1104,0.3053,0.4318,0.823,0.2655,0.8575,0.5275
RNU2-12P,0,0,0,0,0.0734,0,0,0,0,0,0,0
RNU6-464P,0,0,0,0,0,0,0,0,0,0,0,0
MIR2116,0,0,0,0.4937,1.0784,0.7037,0.7784,0.9633,0.2099,1.3538,0.8746,1.0089
RNA5SP291,0,0,0,0,0,0,0,0,0,0,0,0.1281
RNU6-299P,0,0.1379,0.7439,0,0,0,0,0,0.3358,0,0,0.6726
RNU4ATAC5P,0,0,0,0,0,0,0,0,0.3997,0,0.1388,0
RNU6-706P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP47,0,0,0,0,0.1131,0.1033,0.1428,0,0.3081,0,0,0.6171
RNA5SP454,0,0,0,0,0,0.0887,0,0,0,0,0,0
SNORA31,0,0,0.3263,0.693,0,0,0,0,0.5891,0,0.3069,0.236
RNU7-181P,0.3721,2.0502,2.7644,1.0675,1.6655,1.0651,1.4727,1.7854,1.1344,1.6465,1.6547,1.4543
RNU4-60P,0,0,0,0,0,0,0,0.1631,0.1244,0,0.2591,0.0996
SNORA43,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP289,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-77P,0,0.6896,0.6199,1.3166,1.4379,0.1877,0,0.367,1.1193,0.6769,0,0.8968
RNA5SP415,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-128P,0.222,0.2225,0.5999,0,0.3976,0,0.2511,0.3552,1.8956,0,0.8464,2.1697
RN7SKP57,0,0,0,0,0.0421,0.269,0,0,0,0,0.0597,0
RNA5SP437,0.2134,0.4277,0.4325,0,0.1911,0.3491,0.4828,0.5974,0.1302,0.1049,0.1356,0.9385
SCARNA20,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-494P,0,0.4597,0.8265,0,4.3821,0.2502,0.173,0.734,0,1.2034,0.9718,0.4484
RNU6-711P,0,0.6506,1.7544,0.1863,0.3488,0.5311,0.2938,0.8309,0.3168,0.5109,0.165,1.0153
